               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10692,            0.039041,                   0,             0.37826,             0.14539,             0.11423,            0.042629,            0.070077,            0.031704,                   0,              0.0704,           0.0032889,           0.0032889
                   1,            0.079383,            0.033768,                   0,              0.3444,             0.32774,             0.27776,             0.11533,            0.057047,            0.021916,                   0,            0.040334,           0.0065567,           0.0065567
                   2,            0.068585,            0.027566,                   0,             0.20587,             0.40166,             0.16817,            0.056614,            0.057182,            0.024668,                   0,            0.010203,           0.0097584,           0.0097584
                   3,            0.062447,            0.027225,                   0,             0.64184,             0.64102,             0.67096,             0.26039,            0.040244,            0.019837,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.053787,            0.025913,                   0,             0.73273,             0.74569,             0.76907,             0.29327,            0.037288,            0.019147,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.050523,            0.024546,                   0,             0.71005,             0.77955,             0.78822,             0.30881,            0.035766,            0.019606,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.047547,            0.023927,                   0,             0.75191,             0.77629,              0.8174,             0.35848,            0.033787,            0.018684,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.045658,            0.024763,                   0,             0.77348,             0.78997,             0.82048,             0.38951,            0.032584,            0.017957,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.045092,            0.024229,                   0,             0.81418,             0.83084,             0.86261,             0.39518,            0.031278,            0.017527,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.044221,             0.02362,                   0,             0.85798,             0.83701,             0.88103,             0.40817,            0.029658,            0.017362,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.042363,            0.022535,                   0,             0.84464,             0.84305,             0.86988,             0.41259,            0.030027,            0.017357,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.041056,            0.023014,                   0,             0.86776,             0.84435,             0.89113,             0.43823,            0.029634,             0.01712,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.040063,            0.022123,                   0,             0.87321,             0.84761,             0.89148,             0.43827,            0.028899,            0.016788,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.040009,            0.022372,                   0,             0.87493,             0.84968,             0.88947,             0.43494,            0.029079,            0.016819,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.040683,            0.021973,                   0,             0.88522,             0.85884,             0.89667,             0.45512,            0.027493,            0.016764,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.039012,            0.023202,                   0,             0.90709,             0.86308,             0.90524,             0.45333,            0.028645,            0.016692,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.038967,            0.021682,                   0,             0.87185,             0.86584,             0.89516,             0.45487,            0.027668,            0.016785,                   0,            0.008515,            0.008515,            0.008515
