               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.082853,            0.053294,                   0,             0.40357,             0.48744,             0.35458,             0.12844,            0.054123,            0.017887,                   0,            0.070152,           0.0033164,           0.0033164
                   1,            0.055345,            0.047465,                   0,             0.49647,             0.61307,             0.47785,              0.2349,            0.043301,            0.014465,                   0,            0.040086,           0.0065839,           0.0065839
                   2,             0.04872,            0.045543,                   0,             0.76969,             0.68593,             0.71847,             0.35777,            0.038865,             0.01502,                   0,           0.0099546,           0.0097854,           0.0097854
                   3,            0.043275,            0.044183,                   0,             0.83512,             0.67085,             0.75711,             0.42783,            0.035484,            0.013464,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.039541,            0.042634,                   0,             0.83147,             0.67588,             0.74458,             0.39313,            0.038002,             0.01385,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.036799,            0.040366,                   0,             0.84892,             0.75879,             0.83305,             0.46997,            0.034203,            0.012504,                   0,            0.009604,            0.009604,            0.009604
                   6,             0.03502,            0.039256,                   0,             0.85566,             0.78392,             0.86982,             0.48657,            0.034348,            0.012151,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.033202,            0.038241,                   0,             0.85941,             0.81399,             0.87685,              0.5007,            0.032658,            0.012074,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.031994,            0.036293,                   0,             0.81692,             0.80151,             0.86088,              0.5129,             0.03212,            0.012297,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.032071,            0.036709,                   0,             0.83392,             0.80151,             0.84607,             0.50409,            0.032454,            0.012225,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.030679,            0.035796,                   0,              0.8534,             0.71106,             0.83636,             0.52168,            0.032003,            0.013091,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.029993,            0.034606,                   0,             0.86568,             0.88191,             0.92285,             0.57113,            0.028938,            0.010856,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.029525,            0.035344,                   0,             0.89384,             0.83166,             0.89749,             0.53629,            0.030713,            0.011474,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.028622,            0.034189,                   0,             0.89863,             0.77961,             0.88889,             0.53022,            0.030478,            0.012425,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.028845,            0.034252,                   0,             0.87982,             0.77889,             0.90128,              0.5508,            0.030366,            0.011368,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.027936,            0.033062,                   0,             0.95109,             0.86432,              0.9483,             0.58297,            0.028456,            0.010217,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.027791,            0.032957,                   0,             0.87893,             0.87688,             0.93274,             0.56691,            0.030073,            0.010868,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.027689,            0.032544,                   0,              0.9217,             0.85427,             0.93194,             0.56718,            0.029112,            0.011173,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.027312,            0.032538,                   0,             0.90925,             0.86432,             0.93037,             0.58334,             0.02834,            0.010774,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.026692,            0.032154,                   0,             0.92733,             0.87186,             0.94555,             0.59677,             0.02885,            0.010859,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.026551,            0.031723,                   0,             0.88649,             0.90452,             0.94404,             0.60888,            0.027456,            0.010326,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.025943,            0.031289,                   0,             0.88269,             0.93216,             0.95319,             0.60201,            0.028132,            0.010957,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.025767,            0.031206,                   0,             0.94538,             0.91329,             0.96069,             0.61999,            0.026607,            0.009645,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.025772,            0.030776,                   0,             0.94896,              0.8876,             0.96106,             0.63374,            0.026483,            0.010162,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.025759,            0.030458,                   0,             0.92102,             0.87901,              0.9294,              0.6072,            0.028296,            0.010248,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.025251,            0.029784,                   0,             0.89932,             0.89698,             0.92939,             0.62226,            0.027643,            0.010259,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.024917,            0.030324,                   0,              0.8833,             0.94472,              0.9593,             0.63182,            0.027043,             0.01004,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.024729,             0.02931,                   0,             0.84729,             0.92211,             0.94685,             0.60902,            0.028046,            0.010738,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.024589,            0.029628,                   0,             0.92627,             0.94693,             0.96426,             0.65247,            0.026655,           0.0099598,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.023948,            0.029259,                   0,             0.91685,             0.91429,             0.95524,             0.62268,            0.026413,           0.0097909,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.024069,            0.029071,                   0,             0.93188,             0.92806,             0.97051,             0.62605,            0.027424,           0.0097855,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.024137,            0.029321,                   0,             0.91168,             0.85592,             0.94442,              0.6138,            0.029031,            0.010478,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.023647,            0.028606,                   0,              0.9427,             0.90942,             0.96463,             0.64895,            0.026036,           0.0097525,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.023466,            0.028513,                   0,             0.92491,             0.86661,             0.93736,             0.64026,            0.025734,            0.010224,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.023141,            0.028483,                   0,             0.94328,              0.8775,             0.95753,             0.64312,             0.02595,            0.009699,                   0,            0.006733,            0.006733,            0.006733
                  35,             0.02337,            0.028405,                   0,             0.89547,             0.90404,              0.9558,             0.63918,            0.025387,            0.010268,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.023034,            0.028509,                   0,             0.96436,             0.91709,             0.95575,             0.66178,            0.024221,            0.009332,                   0,            0.006535,            0.006535,            0.006535
                  37,            0.022779,            0.027814,                   0,             0.97082,             0.96231,             0.97703,             0.66992,             0.02383,           0.0091187,                   0,            0.006436,            0.006436,            0.006436
                  38,            0.022513,            0.027457,                   0,             0.97669,             0.94748,             0.97877,             0.67001,            0.023806,           0.0090968,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.022686,            0.027637,                   0,             0.94139,              0.8995,             0.96748,             0.66377,            0.024135,           0.0093669,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.022485,            0.027119,                   0,             0.93911,             0.96985,             0.97433,             0.66822,            0.024559,           0.0091195,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.022297,            0.027216,                   0,             0.97237,             0.96482,             0.98563,             0.68665,            0.023454,           0.0087556,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.022149,            0.027142,                   0,             0.94717,             0.96231,              0.9876,             0.67864,            0.023691,           0.0090808,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.022013,            0.027299,                   0,             0.95748,             0.96192,             0.97756,             0.68005,            0.023623,           0.0090382,                   0,            0.005842,            0.005842,            0.005842
