               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10622,            0.045272,                   0,           0.0021629,             0.12667,           0.0016589,          0.00051108,            0.083962,            0.037172,                   0,              0.0704,           0.0032889,           0.0032889
                   1,             0.10074,            0.048683,                   0,           0.0020767,             0.12162,           0.0019888,          0.00053364,            0.083525,            0.036829,                   0,            0.040334,           0.0065567,           0.0065567
                   2,            0.096048,             0.04589,                   0,             0.15029,             0.13286,            0.048879,            0.011736,            0.085294,            0.030492,                   0,            0.010203,           0.0097584,           0.0097584
                   3,            0.087843,            0.043091,                   0,             0.15118,             0.22159,            0.076456,            0.022751,            0.066155,            0.056122,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.075221,            0.040289,                   0,              0.3671,             0.41566,             0.32279,             0.11485,            0.055451,            0.031804,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.068018,            0.036344,                   0,             0.38845,             0.53061,             0.36274,              0.1265,            0.047957,            0.028908,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.063212,            0.034179,                   0,             0.64866,             0.46111,             0.52974,             0.17406,            0.048241,            0.025276,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.058604,            0.033382,                   0,             0.57594,             0.58336,              0.5709,             0.19453,            0.043917,            0.022321,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.056831,             0.03201,                   0,             0.60836,             0.61659,             0.62949,             0.21963,            0.041659,            0.021743,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.054797,            0.030468,                   0,             0.68018,             0.65894,             0.66829,             0.24861,            0.039772,              0.0223,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.052174,            0.028836,                   0,             0.69334,             0.68496,             0.74058,             0.26913,            0.040684,            0.020632,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.050178,            0.029064,                   0,             0.73573,             0.73704,             0.78951,             0.33969,            0.035982,            0.020183,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.049602,            0.027321,                   0,               0.749,             0.75285,             0.80393,             0.32024,            0.035964,            0.020292,                   0,            0.008911,            0.008911,            0.008911
                  13,             0.04885,            0.027562,                   0,             0.76667,             0.76425,             0.82177,             0.35692,            0.034631,            0.019117,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.048045,            0.026686,                   0,             0.79126,             0.76359,             0.81328,             0.37355,            0.033118,             0.01893,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.045848,            0.027653,                   0,             0.79645,             0.79909,             0.84493,             0.37855,            0.034093,            0.018807,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.045799,            0.025859,                   0,             0.77533,             0.79909,             0.84201,              0.3885,            0.032437,            0.018666,                   0,            0.008515,            0.008515,            0.008515
                  17,             0.04552,            0.025722,                   0,             0.82582,             0.80665,             0.86052,             0.40533,            0.031815,            0.018214,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.044112,            0.024951,                   0,             0.80204,             0.82323,             0.85616,             0.39201,            0.032527,            0.018664,                   0,            0.008317,            0.008317,            0.008317
                  19,             0.04425,            0.024018,                   0,             0.79926,             0.82066,             0.85676,             0.40565,            0.031548,            0.018645,                   0,            0.008218,            0.008218,            0.008218
                  20,             0.04362,            0.025555,                   0,             0.81336,             0.81101,             0.84603,             0.39802,            0.031859,            0.018243,                   0,            0.008119,            0.008119,            0.008119
                  21,             0.04284,            0.025577,                   0,             0.82285,             0.83686,             0.87779,             0.42867,            0.030473,            0.017949,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.042645,            0.024237,                   0,             0.81998,             0.82644,             0.85722,             0.40282,            0.030696,            0.017987,                   0,            0.007921,            0.007921,            0.007921
