               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.062611,             0.02593,                   0,              0.9121,               0.875,             0.96375,             0.48691,            0.012301,           0.0078732,                   0,              0.0704,           0.0032889,           0.0032889
                   1,            0.041672,            0.017671,                   0,             0.99649,                   1,               0.995,             0.44112,            0.015906,           0.0037328,                   0,            0.040269,           0.0064911,           0.0064911
                   2,            0.032399,            0.014635,                   0,             0.99095,                   1,               0.995,             0.55757,            0.012084,           0.0047563,                   0,            0.010006,           0.0095613,           0.0095613
                   3,            0.030341,              0.0134,                   0,             0.65173,                 0.9,             0.86257,             0.53871,            0.011012,           0.0035416,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.028909,            0.011997,                   0,              0.9932,                   1,               0.995,             0.76759,           0.0069615,           0.0032495,                   0,            0.009406,            0.009406,            0.009406
                   5,             0.02474,            0.010674,                   0,             0.99797,                   1,               0.995,             0.77078,           0.0082416,           0.0032339,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.026147,            0.010297,                   0,             0.99817,                   1,               0.995,             0.72435,           0.0079193,           0.0034394,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.024575,            0.010441,                   0,             0.99837,                   1,               0.995,             0.81633,           0.0046701,           0.0028762,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.020556,            0.010307,                   0,             0.99872,                   1,               0.995,             0.83288,           0.0083847,           0.0031636,                   0,            0.008614,            0.008614,            0.008614
                   9,             0.02031,           0.0094136,                   0,             0.99822,                   1,               0.995,             0.91109,           0.0040718,           0.0021372,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.018555,            0.009469,                   0,             0.99813,                   1,               0.995,             0.75354,           0.0061926,           0.0026896,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.023616,           0.0094293,                   0,             0.99851,                   1,               0.995,             0.74856,           0.0060168,           0.0033298,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.018706,           0.0087098,                   0,             0.99847,                   1,               0.995,             0.93922,           0.0031127,            0.002284,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.017225,           0.0082038,                   0,             0.99837,                   1,               0.995,              0.8871,           0.0049095,           0.0028826,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.018279,           0.0082599,                   0,             0.99846,                   1,               0.995,             0.88794,           0.0040456,           0.0025425,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.016658,           0.0083292,                   0,              0.9985,                   1,               0.995,              0.8989,           0.0038564,           0.0032626,                   0,            0.007228,            0.007228,            0.007228
                  16,             0.01657,           0.0079217,                   0,             0.99852,                   1,               0.995,             0.87124,            0.003971,           0.0026715,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.014231,           0.0077623,                   0,             0.99849,                   1,               0.995,             0.90919,           0.0039144,           0.0021105,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.015979,           0.0074018,                   0,             0.99856,                   1,               0.995,             0.93702,           0.0039493,           0.0021067,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.016687,            0.007397,                   0,             0.99856,                   1,               0.995,             0.89276,           0.0041732,           0.0028763,                   0,            0.006436,            0.006436,            0.006436
                  20,             0.01362,           0.0074153,                   0,             0.99855,                   1,               0.995,             0.94273,           0.0035511,           0.0025172,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.015746,           0.0073513,                   0,              0.9987,                   1,               0.995,             0.92961,           0.0029731,           0.0016376,                   0,             0.00604,             0.00604,             0.00604
                  22,            0.014217,           0.0071458,                   0,             0.99866,                   1,               0.995,             0.94041,           0.0032321,           0.0023518,                   0,            0.005842,            0.005842,            0.005842
                  23,            0.014045,           0.0068734,                   0,             0.99871,                   1,               0.995,             0.93564,           0.0030746,           0.0021629,                   0,            0.005644,            0.005644,            0.005644
                  24,            0.016023,           0.0073086,                   0,             0.99862,                   1,               0.995,             0.97792,           0.0023677,            0.001709,                   0,            0.005446,            0.005446,            0.005446
                  25,            0.012096,           0.0067567,                   0,             0.99861,                   1,               0.995,              0.9492,           0.0028956,           0.0018139,                   0,            0.005248,            0.005248,            0.005248
                  26,             0.01353,           0.0067025,                   0,              0.9986,                   1,               0.995,             0.97289,           0.0028975,           0.0021305,                   0,             0.00505,             0.00505,             0.00505
                  27,            0.012621,            0.006529,                   0,              0.9986,                   1,               0.995,             0.95552,           0.0027333,           0.0021392,                   0,            0.004852,            0.004852,            0.004852
                  28,             0.01152,           0.0065191,                   0,             0.99852,                   1,               0.995,             0.96702,           0.0025185,           0.0016966,                   0,            0.004654,            0.004654,            0.004654
                  29,            0.010955,           0.0063998,                   0,             0.99861,                   1,               0.995,             0.95451,           0.0024315,           0.0019946,                   0,            0.004456,            0.004456,            0.004456
                  30,            0.012831,           0.0063051,                   0,              0.9985,                   1,               0.995,             0.92792,           0.0028986,           0.0020604,                   0,            0.004258,            0.004258,            0.004258
                  31,            0.012139,           0.0061535,                   0,              0.9986,                   1,               0.995,             0.92908,            0.003039,           0.0026623,                   0,             0.00406,             0.00406,             0.00406
                  32,            0.010061,           0.0060041,                   0,             0.99865,                   1,               0.995,             0.96033,            0.003172,             0.00172,                   0,            0.003862,            0.003862,            0.003862
                  33,            0.011569,           0.0062534,                   0,              0.9985,                   1,               0.995,             0.94378,           0.0032427,           0.0016313,                   0,            0.003664,            0.003664,            0.003664
                  34,            0.010655,           0.0059228,                   0,             0.99851,                   1,               0.995,             0.89808,           0.0038558,           0.0020002,                   0,            0.003466,            0.003466,            0.003466
                  35,            0.011848,           0.0060113,                   0,             0.99859,                   1,               0.995,             0.94783,           0.0029134,           0.0018519,                   0,            0.003268,            0.003268,            0.003268
                  36,            0.010771,            0.005799,                   0,              0.9986,                   1,               0.995,             0.90838,           0.0031842,           0.0026498,                   0,             0.00307,             0.00307,             0.00307
                  37,            0.010148,           0.0056643,                   0,             0.99855,                   1,               0.995,             0.96162,           0.0026036,           0.0019374,                   0,            0.002872,            0.002872,            0.002872
                  38,            0.010065,           0.0058359,                   0,             0.99864,                   1,               0.995,             0.96699,           0.0024827,           0.0016551,                   0,            0.002674,            0.002674,            0.002674
                  39,           0.0097546,           0.0058341,                   0,             0.99867,                   1,               0.995,             0.96663,           0.0024354,           0.0016813,                   0,            0.002476,            0.002476,            0.002476
                  40,           0.0083102,           0.0055154,                   0,             0.99867,                   1,               0.995,             0.97032,           0.0023605,           0.0014725,                   0,            0.002278,            0.002278,            0.002278
                  41,           0.0094021,           0.0054347,                   0,             0.99859,                   1,               0.995,              0.9804,           0.0019487,           0.0014668,                   0,             0.00208,             0.00208,             0.00208
                  42,           0.0081121,           0.0054405,                   0,             0.99863,                   1,               0.995,             0.97423,           0.0022614,           0.0017162,                   0,            0.001882,            0.001882,            0.001882
                  43,           0.0091294,           0.0053595,                   0,             0.99865,                   1,               0.995,             0.97483,           0.0024335,           0.0017471,                   0,            0.001684,            0.001684,            0.001684
                  44,           0.0099041,           0.0054537,                   0,             0.99857,                   1,               0.995,             0.96833,           0.0024778,           0.0020714,                   0,            0.001486,            0.001486,            0.001486
                  45,           0.0089127,           0.0052789,                   0,             0.99864,                   1,               0.995,             0.94621,           0.0028732,           0.0019011,                   0,            0.001288,            0.001288,            0.001288
                  46,           0.0087159,           0.0050535,                   0,             0.99874,                   1,               0.995,             0.96628,           0.0027478,           0.0017295,                   0,             0.00109,             0.00109,             0.00109
                  47,           0.0075081,           0.0050397,                   0,             0.99857,                   1,               0.995,             0.96012,           0.0025471,           0.0018459,                   0,            0.000892,            0.000892,            0.000892
                  48,           0.0093997,           0.0050753,                   0,             0.99866,                   1,               0.995,              0.9668,           0.0024805,            0.001834,                   0,            0.000694,            0.000694,            0.000694
                  49,           0.0080944,           0.0049759,                   0,              0.9986,                   1,               0.995,             0.97196,           0.0022784,           0.0018483,                   0,            0.000496,            0.000496,            0.000496
