               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.051333,            0.024236,                   0,             0.66235,             0.82924,             0.77509,             0.41648,            0.012776,           0.0074855,                   0,              0.0018,              0.0018,              0.0838
                   1,             0.02944,            0.016403,                   0,              0.7105,             0.83636,             0.77392,             0.53793,            0.012054,           0.0053818,                   0,           0.0035981,           0.0035981,            0.067498
                   2,            0.022765,            0.013313,                   0,             0.90547,             0.95909,             0.95674,             0.73279,           0.0080488,           0.0041256,                   0,           0.0053842,           0.0053842,            0.051184
                   3,            0.022341,            0.012202,                   0,             0.84337,             0.95449,             0.96187,             0.78022,           0.0068031,           0.0033415,                   0,           0.0071584,           0.0071584,            0.034858
                   4,            0.020603,            0.011197,                   0,             0.90418,             0.94545,             0.96608,             0.62908,           0.0087819,            0.003787,                   0,           0.0089207,           0.0089207,            0.018521
                   5,             0.02169,            0.010633,                   0,             0.95514,             0.96773,             0.98677,             0.73362,           0.0061879,           0.0042107,                   0,            0.009835,            0.009835,            0.009835
                   6,            0.018629,            0.010538,                   0,             0.82674,             0.86818,             0.83923,             0.70846,           0.0045395,           0.0044585,                   0,            0.009835,            0.009835,            0.009835
                   7,            0.017226,             0.01041,                   0,             0.85343,             0.89988,             0.93917,             0.76704,           0.0045823,           0.0039616,                   0,            0.009802,            0.009802,            0.009802
                   8,            0.016995,           0.0095331,                   0,             0.94087,             0.87273,             0.94009,             0.77596,           0.0055471,           0.0040331,                   0,            0.009769,            0.009769,            0.009769
                   9,            0.015309,           0.0092148,                   0,             0.93293,             0.88636,             0.95983,             0.81081,           0.0046148,           0.0035197,                   0,            0.009736,            0.009736,            0.009736
                  10,            0.014008,           0.0089047,                   0,             0.96969,             0.87264,             0.96948,             0.86096,           0.0038678,           0.0032978,                   0,            0.009703,            0.009703,            0.009703
                  11,            0.013934,           0.0086821,                   0,             0.98036,             0.91364,             0.98034,             0.84672,           0.0051172,           0.0027986,                   0,             0.00967,             0.00967,             0.00967
                  12,            0.013772,           0.0084765,                   0,             0.94039,             0.91818,             0.96933,             0.83261,           0.0043505,           0.0030789,                   0,            0.009637,            0.009637,            0.009637
                  13,            0.012585,           0.0082387,                   0,             0.97456,             0.87273,             0.96206,             0.81022,           0.0046976,           0.0043091,                   0,            0.009604,            0.009604,            0.009604
                  14,            0.012913,           0.0082373,                   0,             0.94591,             0.95455,             0.97163,             0.77672,           0.0052927,            0.003562,                   0,            0.009571,            0.009571,            0.009571
                  15,            0.012281,           0.0081992,                   0,             0.90042,             0.94531,             0.96786,             0.82539,           0.0048213,           0.0038325,                   0,            0.009538,            0.009538,            0.009538
                  16,            0.013598,           0.0080977,                   0,             0.96225,             0.94091,             0.97942,             0.79684,           0.0046801,            0.003663,                   0,            0.009505,            0.009505,            0.009505
                  17,            0.012384,           0.0080184,                   0,             0.93749,             0.95455,             0.96623,             0.85295,           0.0041706,           0.0032735,                   0,            0.009472,            0.009472,            0.009472
                  18,            0.013195,           0.0079451,                   0,             0.97991,             0.89545,             0.97422,             0.87591,           0.0035667,           0.0032528,                   0,            0.009439,            0.009439,            0.009439
                  19,            0.012018,           0.0079028,                   0,             0.97008,             0.89091,             0.97182,             0.83889,           0.0038784,           0.0038281,                   0,            0.009406,            0.009406,            0.009406
