               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.048578,             0.02331,                   0,             0.47329,              0.7107,             0.59646,             0.30183,            0.017554,           0.0055468,                   0,            0.070166,           0.0033149,           0.0033149
                   1,            0.028674,            0.015063,                   0,             0.82489,             0.96354,              0.8349,             0.50255,            0.010655,           0.0039319,                   0,              0.0401,           0.0065824,           0.0065824
                   2,            0.025562,            0.012112,                   0,             0.82198,             0.92273,             0.93831,             0.73187,           0.0075839,           0.0038573,                   0,           0.0099681,           0.0097839,           0.0097839
                   3,            0.020201,            0.011156,                   0,             0.78885,             0.93399,             0.88063,             0.66642,           0.0067112,           0.0039873,                   0,            0.009703,            0.009703,            0.009703
                   4,             0.01746,            0.010459,                   0,             0.88305,             0.92727,             0.96069,             0.77703,           0.0050242,           0.0036159,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.017628,           0.0099232,                   0,             0.85657,             0.97726,             0.97312,               0.709,           0.0079883,           0.0031587,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.015846,           0.0095918,                   0,             0.82895,             0.92522,             0.91521,              0.7718,           0.0045782,           0.0037759,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.014946,            0.009238,                   0,             0.78599,             0.96364,             0.92595,             0.72488,           0.0062753,           0.0036251,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.015024,           0.0088985,                   0,             0.90462,             0.86224,             0.94208,             0.78707,            0.004845,           0.0039593,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.013467,           0.0084248,                   0,             0.90739,             0.92727,             0.95407,              0.8003,           0.0050629,           0.0043438,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.013759,           0.0086341,                   0,                   1,             0.84446,             0.95217,             0.81865,           0.0048206,           0.0040276,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.013012,           0.0083333,                   0,             0.85085,             0.90757,             0.93554,             0.78979,           0.0054531,           0.0043316,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.012219,           0.0081506,                   0,             0.98378,             0.85909,             0.95206,              0.7952,           0.0053265,           0.0052598,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.012398,           0.0081696,                   0,             0.98067,              0.9222,             0.97586,             0.84055,           0.0044299,           0.0036711,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.012141,           0.0081979,                   0,             0.97383,             0.87273,             0.97565,             0.83955,           0.0041173,           0.0039695,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.012435,           0.0077374,                   0,             0.97491,             0.85909,             0.97571,             0.82455,           0.0044559,            0.004271,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.012723,           0.0079609,                   0,             0.99817,             0.88636,             0.97179,             0.85705,           0.0039877,            0.002988,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.011935,           0.0078235,                   0,             0.90246,             0.88313,             0.93979,             0.82388,           0.0042668,           0.0044576,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.011127,           0.0077022,                   0,             0.98985,             0.88632,             0.97692,              0.7994,           0.0049019,           0.0033611,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.010912,           0.0075839,                   0,             0.96059,             0.90909,             0.97416,             0.85796,            0.003859,           0.0034093,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.011644,           0.0075438,                   0,             0.99127,             0.90909,             0.98146,             0.82437,           0.0047448,           0.0035641,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.011471,           0.0073641,                   0,             0.99797,             0.90909,             0.98157,             0.84139,           0.0046182,           0.0034131,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.010851,           0.0073517,                   0,             0.99846,             0.91818,             0.98701,             0.86132,           0.0042489,           0.0032717,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.010052,           0.0071744,                   0,             0.98953,             0.85897,             0.96227,             0.81507,           0.0045284,           0.0048229,                   0,            0.007822,            0.007822,            0.007822
                  24,           0.0099916,           0.0071297,                   0,             0.97309,             0.88182,             0.97457,             0.82311,           0.0050833,           0.0041006,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.010375,           0.0072964,                   0,                   1,             0.90663,             0.96415,             0.84163,            0.004405,           0.0047756,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.010293,           0.0071544,                   0,             0.91922,             0.93106,             0.96946,             0.85109,           0.0039767,           0.0040416,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.010366,           0.0070575,                   0,             0.99764,                 0.9,                0.97,             0.85322,           0.0041379,           0.0038597,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.010355,           0.0071947,                   0,             0.86947,              0.8478,              0.9311,             0.79129,           0.0045925,           0.0057046,                   0,            0.007327,            0.007327,            0.007327
                  29,           0.0096495,           0.0069779,                   0,             0.99598,             0.87727,             0.96099,             0.84559,           0.0038884,            0.004114,                   0,            0.007228,            0.007228,            0.007228
                  30,           0.0097771,            0.007064,                   0,             0.90258,             0.88439,             0.93191,             0.83898,           0.0038521,           0.0038791,                   0,            0.007129,            0.007129,            0.007129
                  31,           0.0097253,           0.0069294,                   0,                   1,             0.90821,             0.96345,             0.83817,           0.0044021,           0.0041664,                   0,             0.00703,             0.00703,             0.00703
                  32,           0.0093686,           0.0068866,                   0,             0.97548,             0.87273,             0.95209,             0.85314,            0.003763,           0.0046108,                   0,            0.006931,            0.006931,            0.006931
                  33,           0.0089787,           0.0067459,                   0,             0.97912,             0.92727,             0.97501,             0.86735,           0.0035372,           0.0036463,                   0,            0.006832,            0.006832,            0.006832
                  34,           0.0098426,           0.0067127,                   0,             0.99886,             0.92273,             0.97871,             0.85085,           0.0041881,           0.0035934,                   0,            0.006733,            0.006733,            0.006733
                  35,           0.0092619,           0.0068692,                   0,             0.95498,             0.88636,             0.96825,             0.85079,              0.0038,           0.0049138,                   0,            0.006634,            0.006634,            0.006634
                  36,           0.0096299,           0.0066951,                   0,             0.99798,             0.88636,             0.97281,             0.85599,           0.0037445,            0.003189,                   0,            0.006535,            0.006535,            0.006535
                  37,           0.0094821,           0.0068631,                   0,             0.94201,             0.88606,              0.9555,             0.83582,           0.0044489,           0.0039844,                   0,            0.006436,            0.006436,            0.006436
                  38,           0.0093782,           0.0068158,                   0,             0.96509,              0.8796,             0.94724,             0.80929,           0.0047537,           0.0048124,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.009235,           0.0067054,                   0,             0.99976,             0.92727,             0.97181,             0.85992,           0.0039558,           0.0045106,                   0,            0.006238,            0.006238,            0.006238
                  40,           0.0099704,           0.0066735,                   0,             0.99862,             0.88182,             0.97043,             0.86025,             0.00387,           0.0039629,                   0,            0.006139,            0.006139,            0.006139
